ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
41193-019,Western Regional Road Corridor Investment Program - Tranche 2,Mongolia,Sovereign,Loan,Active,3129,14/05/2014,"125,000,000.00",,Transport,Road transport (non-urban),A,C,B,Sectors Group,Ministry of Road and Transport Development of Mongolia,"Stapleton, Rebecca"
41220-013,Integrated Natural Resources and Environmental Management Project,Philippines,Sovereign,Grant | Loan,Active,0324 | 0325 | 2957 | 8266,03/12/2012,"101,410,000.00","Bohol, Cordillera Administrative Region, Lake Lanao, Province of Bukidnon","Agriculture, natural resources and rural development","Forestry | Rural market infrastructure | Rural water policy, institutional and capacity development | Water-based natural resources management",B,A,B,Sectors Group,Department of Environment and Natural Resources,"Ueda, Takeshi"
41392-023,Decentralized Public Service and Financial Management Sector Development Program (Subprogram 2),Cambodia,Sovereign,Loan,Active,3414 | 3415,18/08/2016,"35,000,000.00",,Public sector management,Decentralization | Public expenditure and fiscal management,B,C,C,Sectors Group,National Committee for Sub-National Democratic Development Secretariat,"Mukhtar, Nyda H."
41435-013,Tonle Sap Poverty Reduction and Smallholder Development Project - Additional Financing (TSSD- AF),Cambodia,Sovereign,Loan,Active,0186 | 0191 | 0192 | 0542 | 2599 | 3570 | 8243 | 8331,25/09/2017,"80,700,000.00","Kampong Cham, Kampong Cham, Siem Reap, Siem Reap, Sisophon, Sisophon, Stueng Saen, Stueng Saen","Agriculture, natural resources and rural development | Finance","Agricultural policy, institutional and capacity development | Agricultural production | Rural market infrastructure | Inclusive finance",B,B,B,Sectors Group,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou"
41456-013,MFF: Water Sector Investment Program,Viet Nam,Sovereign,Loan,Active,0054,22/02/2011,"1,000,000,000.00",Nation-wide,Water and other urban infrastructure and services,,A,B,A,Southeast Asia Department,,Pham Quang Tien
41496-014,Greater Mekong Subregion Southern Coastal Corridor Project - Additional Financing,Viet Nam,Sovereign,Grant | Loan,Active,0337 | 2988,11/02/2013,"25,000,000.00","Nation-wide, Ca Mau, Ha Tien, Ha Tien Township, Huyen An Bien, Huyen Chau Thanh, Huyen Hon Dat, Huyen Kien Luong, Kien Luong, Minh Hoa, Ngoc Hon Doc, Rach Gia, Rach Thu Bay, Song Cai Be, Song Cai Lon, Tac Cau, Thi Xa Ca Ma, Thi Xa Rach Gia, Tinh Kien Giang, Xom Ta Lua Moi, Xom Xa Xia",Transport,Road transport (non-urban),B,B,A,Sectors Group,Ministry of Transport,"Shim, Chaorin"
41665-013,Water District Development Sector Project,Philippines,Sovereign,Grant | Loan | Technical Assistance,Active,0477 | 3389 | 9103,22/04/2016,"60,000,000.00","Nation-wide, City of Koronadal, Province of La Union",Water and other urban infrastructure and services,Urban sanitation | Urban water supply,B,B,B,Sectors Group,Local Water Utilities Administration,"Baird, Alan"
42007-020,Small and Medium-Sized Enterprises Development Program (Subprogram 1),Regional,Sovereign,Loan | Technical Assistance,Active,4156 | 4157 | 6865,09/12/2021,"100,850,000.00",Regional,Education | Finance | Industry and trade | Public sector management,Technical and vocational education and training | Finance sector development | Inclusive finance | Small and medium enterprise finance and leasing | Small and medium enterprise development | Trade and services | Public expenditure and fiscal management,C,C,C,Sectors Group,Ministry of Economy and Finance,"Sood, Priyanka"
42007-021,Small and Medium-Sized Enterprises Development Program (Subprogram 2),Uzbekistan,Sovereign,Loan,Active,4415,06/12/2023,"100,000,000.00",Nation-wide,Education | Finance | Industry and trade,Technical and vocational education and training | Finance sector development | Inclusive finance | Small and medium enterprise finance and leasing | Small and medium enterprise development | Trade and services,C,C,C,Sectors Group,Ministry of Economy and Finance,"Sood, Priyanka"
42019-014,Multimodal Passenger Hub and Railway Maintenance Project,"China, People's Republic of",Sovereign,Loan,Active,3797,27/06/2019,"120,000,000.00",Xichang,Transport,Rail transport (non-urban),B,C,B,Sectors Group,China Railway Corporation (Formerly Ministry of Railways),"Miller, Jeffrey M."
42079-013,University of Science and Technology of Hanoi Development (New Model University) Project,Viet Nam,Sovereign,Loan,Active,2750 | 2751,25/04/2011,"190,000,000.00",Hanoi,Education,Tertiary,B,C,A,Sectors Group,"University of Science & Tech, Hanoi (Implementing)","Tanaka, Sakiko"
42091-022,MFF- Water Resources Development Investment Program (Facility Concept),Afghanistan,Sovereign,Grant,Active,0033,20/12/2005,"300,000,000.00",,"Agriculture, natural resources and rural development","Irrigation, Drainage, and Flood Protection",,,,Central and West Asia Department,,ADB Disclosure
42091-032,Water Resources Development Investment Program - Project 1,Afghanistan,Sovereign,Grant,Active,0167 | 0170,06/10/2009,"86,600,000.00","Aqchah, Baba Qushqar, Balkh, Balkh, Chakish, Deh-e Qazi, Gowr-i-Mar, Kaltah Shakh, Khairabad, Mardian, Mingajik-e Qulighajar, Moy Mubarak, Nakhchirabad, Pusht-e Bagh, Qal'achah, Qarah Buyin, Samar Qandian, Sar-e Asyab, Sherabad, Shingilabad, Surkh, Wilayat-e Jowzjan, Yangi Qal'ah, Zadian","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Irrigation | Rural flood protection | Water-based natural resources management",B,C,B,Sectors Group,,ADB Disclosure
42091-043,Water Resources Development Investment Program - Project 2,Afghanistan,Sovereign,Grant,Active,0362,08/10/2013,"100,000,000.00","Dasht-e Archi, Imam Sahib, Kwhaja Ghar, Nahr-e Archi, Wilayat-e Takhar","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Irrigation",B,C,B,Sectors Group,,ADB Disclosure
42094-012,MFF - Energy Sector Development Investment Program (Facility Concept),Afghanistan,Sovereign,Grant,Active,0026,28/11/2008,"570,000,000.00",,Health,Health Programs,B,C,C,Central and West Asia Department,,ADB Disclosure
42094-042,Energy Sector Development Investment Program - Tranche 3,Afghanistan,Sovereign,Grant,Active,0280 | 0281 | 0282,22/12/2011,"43,000,000.00",Gereshk,Energy,Electricity transmission and distribution | Renewable energy generation - small hydro,B,C,B,Sectors Group,,ADB Disclosure
42094-052,Energy Sector Development Investment Program - Tranche 4,Afghanistan,Sovereign,Grant,Active,0332,18/12/2012,"200,000,000.00","Andkhoy, Gardez, Mazar-e Sharif, Pul-e 'Alam, Shibirghan",Energy,Renewable energy generation - small hydro,B,C,B,Sectors Group,,ADB Disclosure
42105-012,Knowledge Sharing on Infrastructure Public-Private Partnerships in Asia,Regional,Sovereign,Technical Assistance,Active,6492,07/10/2008,"4,368,000.00",Regional,Industry and trade | Transport | Water and other urban infrastructure and services,"Industry and trade sector development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Office of Markets Development and Public-Private Partnership,Asian Development Bank,"Chauche, Isabelle"
42145-013,North-South Road Corridor Investment Program,Armenia,Sovereign,Grant | Loan,Active,0035,29/09/2009,"500,000,000.00",,Transport,Road transport (non-urban),,,,Sectors Group,,"Herz, Thomas"
42145-033,North-South Road Corridor Investment Program - Tranche 2,Armenia,Sovereign,Loan,Active,2729,21/12/2010,"170,000,000.00","Aragatsotni Marz, Ashtarak, Talin",Transport,Road transport (non-urban),A,C,A,Sectors Group,Ministry of Territorial Administration and Infrastructure,"Herz, Thomas"
42145-043,North-South Road Corridor Investment Program - Tranche 3,Armenia,Sovereign,Grant | Loan,Active,2993,12/03/2013,"100,000,000.00","Agarak, Aragatsotni Marz, Ararat, Ararati Marz, Ashtarak, Azatan, Bavra, Beniamin, Dzorakap, Goris, Gyumri, Hayrenyats', Horrom, Kapan, Lanjik, Lusakert, Maralik, Mastara, Meghri, Sarrnaghbyur, Shiraki Marz, Syunik'i Marz, Talin, Yerevan",Transport,Road transport (non-urban),A,C,A,Sectors Group,Ministry of Territorial Administration and Infrastructure,"Herz, Thomas"
42169-013,Greater Dhaka Sustainable Urban Transport Project,Bangladesh,Sovereign,Grant | Loan | Technical Assistance,Active,2862 | 2863 | 2864 | 4284 | 8072 | 8270,17/04/2012,"260,000,000.00","Dhaka, Gazipura",Transport,Road transport (non-urban) | Transport policies and institutional development | Urban public transport | Urban roads and traffic management,B,C,A,Sectors Group,Local Government Engineering Department,"Das, Amrita Kumar"
42173-013,Dhaka Environmentally Sustainable Water Supply Project,Bangladesh,Sovereign,Grant | Loan,Active,0805 | 3051 | 4124 | 4126 | 8292 | 8405,22/10/2013,"390,000,000.00","Araihazar, Badda, Bishnadi, Dhaka, Dhaka District, Gandharbapur, Gulshan, Mirpur, Narayanganj District, Rupganj",Water and other urban infrastructure and services,Urban water supply,B,C,A,Sectors Group,Dhaka Water Supply and Sewerage Authority,"Srivastava, Pushkar"
42173-015,Developing South Asian Livable Cities Facility,Regional,Sovereign,Technical Assistance,Active,9781,07/08/2019,"5,000,000.00","Bangladesh - Dhaka, Khulna; Bhutan - Paro; Maldives - Male; Nepal - Kathmandu; Sri Lanka - Colombo",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development",,,,Sectors Group,Asian Development Bank,"Songco, Krizelda Marie L."
42173-017,Water Flagship Program Support Project,Bhutan,Sovereign,Grant | Loan,Active,0874 | 4281 | 9233,12/12/2022,"20,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Irrigation | Rural water supply services | Urban water supply,B,C,B,Sectors Group,Department of Infrastructure Development,"Majumder, Sourav"
