ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
38438-012,Capacity Building of the Department of Aid and Debt Management's (DADM) Debt Management Unit,Bhutan,Sovereign,Technical Assistance,Closed,4871,20/11/2006,"200,000.00",,Finance,Finance sector development,,,,South Asia Department,Department of Aid and Debt Management,"Bertsch, Natalie D."
38447-013,Rural Enterprise Modernization Project,Pakistan,Sovereign,Loan,Closed,2230,07/02/2006,"5,000,000.00",,Industry and trade,Small and medium enterprise development,C,C,C,Central and West Asia Department,"Min of Industries,Production & Special Initiatives","Jones, Randall E."
38455-012,Supporting Network of Research Institutes and Think Tanks in South Asia,Regional,Sovereign,Technical Assistance,Closed,6189,30/09/2004,"275,000.00",Regional,Public sector management,Economic affairs management,,,,South Asia Department,Asian Development Bank,Rajiv Kumar
38456-012,Preparing the Power Distribution Enhancement Multitranche Financing Facility,Pakistan,Sovereign,Technical Assistance,Closed,4876,27/11/2006,"900,000.00",,Energy,Electricity transmission and distribution,B,B,B,Central and West Asia Department,Pakistan Electric Power Company (Pvt.) Limited,"Stroem, Rune"
38456-013,MFF - Power Distribution Enhancement Investment Program,Pakistan,Sovereign,Loan,Closed,0021,03/09/2008,"810,000,000.00",,Energy,,B,B,B,Central and West Asia Department,,"Khattak, Ehtesham Zafar"
38456-023,Power Distribution Enhancement Investment Program- Project 1,Pakistan,Sovereign,Loan,Closed,2438 | 2439,12/09/2008,"210,826,044.00","Alipur, Badin, Daska, Fatehpur, Godpur, Jacobabad, Jalalpur Nau, Jubilee Town, Kamir, Kudlathi, Larkana, Miranpur, Sethi Town, Sheranwala Gate, Sukkur, Talhar",Energy,Electricity transmission and distribution,B,B,B,Central and West Asia Department,Faisalabad Electric Supply Company Limited,"Khattak, Ehtesham Zafar"
38456-033,Power Distribution Enhancement Investment Program - Tranche 2,Pakistan,Sovereign,Loan,Closed,2727,14/12/2010,"172,300,000.00","Chuchak, Jubilee Town, Lahore, Rahber Housing Scheme, Shahpur, Suckh Chayn, Sukkur",Energy,Electricity transmission and distribution,B,C,B,Central and West Asia Department,Faisalabad Electric Supply Company Limited,"Khattak, Ehtesham Zafar"
38456-034,Power Distribution Enhancement Investment Program - Tranche 3,Pakistan,Sovereign,Loan,Closed,2972,14/12/2012,"245,000,000.00","Attock, Badin, Bahawalnagar, Bahawalpur, Bhakkar, Charsadda, D. G. Khan, D. I. Khan, Faisalabad, Gujrat, Hyderabad, Islamabad, Islamabad, Jhang, Kalat, Karak, Kasur, Khanewal, Khuzdar, Killa Saifullah, Kohat, Lahore, Loralai, Lower Dir, Mandi Bahauddin, Mansehra, Mardan, Mastung, Mianwali, Mirpur Khas, Nowshera, Okara, Pishin, Quetta, Rawalpindi, Sahiwal, Sargodha, Sheikhupura, Sialkot, Swabi, Tank, Toba Tek Singh, Vehari",Energy,Electricity transmission and distribution,B,C,B,Central and West Asia Department,Pakistan Electric Power Company (Pvt.) Limited,"Khattak, Ehtesham Zafar"
38456-037,Power Distribution Enhancement Investment Program - Tranche 4,Pakistan,Sovereign,Loan,Closed,3096,13/12/2013,"167,200,000.00","Barana, Bhakkar, Bhalwal, Bhalwala, Bhamb, Bhawana, Chak One Hundred Twenty-Eight, Chiniot, Faisalabad, Jaranwala, Jauharabad, Jhang City, Jhumra, Kamalia, Khiwa, Khurrianwala, Kirana, Kirana, Lalian, Pir Mahal, Sammundri, Tandlianwala, Thikriwala, Toba Tek Singh",Energy,Conventional energy generation,C,C,C,Central and West Asia Department,Pakistan Electric Power Company (Pvt.) Limited,"Khattak, Ehtesham Zafar"
38458-013,Infrastructure Development,Pakistan,Sovereign,Loan | Technical Assistance,Closed,2178 | 4635,18/08/2005,"25,150,000.00",,"Agriculture, natural resources and rural development | Energy | Finance | Transport",Water-based natural resources management | Electricity transmission and distribution | Energy sector development and institutional reform | Infrastructure finance and investment funds | Rail transport (non-urban) | Road transport (non-urban) | Transport policies and institutional development,C,,,Central and West Asia Department,Planning Commission,"Farrukh, Raza M."
38459-012,Promoting South Asian Regional Economic Cooperation,Regional,Sovereign,Technical Assistance,Closed,6187,27/09/2004,"655,000.00",Regional,Public sector management,Economic affairs management,,,,South Asia Department,Asian Development Bank,"Nguyen, Cuong Minh"
38460-012,Capacity Development for the Department of Labour (Prev. Labor Regulations),Bhutan,Sovereign,Technical Assistance,Closed,4914,16/01/2007,"300,000.00",,Public sector management,Economic affairs management,,,,Office of the General Counsel,Department of Employment and Labor,"Nagpal, Ramit K."
38464-012,Central Asian Countries Initiative for Land Management (CACILM) Multicountry Partnership Framework Support Project,Regional,Sovereign,Technical Assistance,Closed,6357,24/11/2006,"800,000.00",Regional,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,Central and West Asia Department,Asian Development Bank,"Tambunan, Binsar P."
38479-022,Regional Roads Development Project,Indonesia,Sovereign,Technical Assistance,Closed,7085,28/05/2008,"1,300,000.00",,Transport,Road transport (non-urban),B,A,B,Southeast Asia Department,Directorate General of Highways,"Valkovic, Robert"
38479-034,Regional Roads Development Project,Indonesia,Sovereign,Loan,Closed,2817,24/11/2011,"180,000,000.00","Banjar, Banjarnegara, Banyumas, Bulungan, Jawa Tengah, Jawa Timur, Kalimantan Barat, Kalimantan Timur, Kebumen, Ketapang, Kota Purwokerto, Kota Singkawang, Malang, Nunukan, Sambas, Sanggau, Wonogiri",Transport,Road transport (non-urban),B,B,A,Southeast Asia Department,Directorate General of Highways,"Lawira, Helena"
38479-035,Regional Roads Development II,Indonesia,Sovereign,Technical Assistance,Closed,8138,08/08/2012,"1,500,000.00",,Transport,Road transport (non-urban),,,,Southeast Asia Department,Directorate General of Highways,"Sakai, Tsuneyuki"
38492-013,Power Grid Transmission (Sector) Project,India,Sovereign,Loan,Closed,2152,21/12/2004,"400,000,000.00",,Energy,Electricity transmission and distribution,B,,,South Asia Department,Power Grid Corporation of India Limited,"Karbar, Vallabha R."
38496-012,Capacity Building for the Clean Development Mechanism in India,India,Sovereign,Technical Assistance,Closed,4496,17/12/2004,0,,Energy,Energy efficiency and conservation,,,,South Asia Department,Ministry of Environment and Forests,"Kim, Gil-Hong"
38511-012,Inner Mongolia Autonomous Region Development Strategy,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4511,20/12/2004,"500,000.00",,Energy,Energy sector development and institutional reform,,,,East Asia Department,Inner Mongolia Autonomous Region Finance Department (Former Inner Mongolia Autonomous Region),"Peng, Long Yun"
38512-012,Provincial Development Strategy,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4727,12/12/2005,"1,000,000.00",,Public sector management,Decentralization,,,,East Asia Department,Gansu Finance Department,"Peng, Long Yun"
38522-012,Development and Dissemination of Water-Saving Rice Technologies in South Asia (formerly Tenth Agriculture and Natural Resources Research at Internatio,Regional,Sovereign,Technical Assistance,Closed,6276,02/12/2005,"1,000,000.00",Regional,"Agriculture, natural resources and rural development",Agricultural production,,,,South Asia Department,International Rice Research Institute,"Woldring, Hans Siewert"
38525-012,Eleventh Agriculture and Natural Resources Research at International Agricultural Research Centers,Regional,Sovereign,Technical Assistance,Closed,6376,18/12/2006,"1,000,000.00",Regional,"Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade",,,,Regional and Sustainable Development Department,Intl Food Policy Research Institute(IFPR),"Adriano, Lourdes S."
38539-012,Promoting Effective Water Management Policies and Practices - Phase 5,Regional,Sovereign,Technical Assistance,Closed,6325,14/07/2006,"200,000.00",Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural water policy, institutional and capacity development | Rural water supply services | Water-based natural resources management | Urban policy, institutional and capacity development | Urban water supply",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Um, Woochong"
38555-012,Evaluation of Environmental Policy and Investment for Water Pollution Control in the Huai River Basin and the Taihu Lake Basin,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4447,25/11/2004,"500,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,East Asia Department,State Environment Protection Administration,Bruce Carrad
38558-012,Water Resources Management (Sector) Project,Cambodia,Sovereign,Technical Assistance,Closed,4848,16/10/2006,"1,000,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,B,,,Southeast Asia Department,Ministry of Water Resources and Meteorology,"Teoh, Su Chin"
38558-013,Water Resources Management Sector Development Program,Cambodia,Sovereign,Grant | Loan | Technical Assistance,Closed,0220 | 2672 | 2673 | 7610 | 8253,23/09/2010,"33,800,000.00","Banteay Meanchey, Kampong Thom, O Mean, O Tuk, Phumi Angk Khmau, Phumi Sleng Spean, Prasat Pram, Siem Reap","Agriculture, natural resources and rural development","Irrigation | Rural water policy, institutional and capacity development",B,C,B,Southeast Asia Department,Ministry of Water Resources and Meteorology,Raza Farrukh
38559-012,"Education Quality Improvement (formerly Enhancing Quality of School Education, originally Education Sector Development)",Cambodia,Sovereign,Technical Assistance,Closed,4823,07/08/2006,"500,000.00",,Education,Education sector development,C,,C,Southeast Asia Department,"Ministry of Education, Youth and Sport","Brar, Sukhdeep"
38559-022,Enhancing Education Quality Project,Cambodia,Sovereign,Grant,Closed,0090,23/11/2007,"27,100,000.00",Nation-wide,Education,Education sector development | Secondary,C,B,C,Southeast Asia Department,"Ministry of Education, Youth and Sport","Tanabe, Kimie"
38560-012,Second Rural Water Supply and Sanitation Sector Project,Cambodia,Sovereign,Technical Assistance,Closed,7098,16/07/2008,"500,000.00",,"Agriculture, natural resources and rural development",Rural sanitation | Rural water supply services,B,A,C,Southeast Asia Department,Ministry of Rural Development,"Jain, Anupma"
38560-022,Second Rural Water Supply and Sanitation Sector Project,Cambodia,Sovereign,Grant | Loan | Technical Assistance,Closed,0156 | 0497 | 3433 | 9182,15/09/2009,"36,000,000.00","Banteay Meanchey, Battambang, Kampong Chhnang, Kampong Thom, Peam Bang, Phumi Ampil Toek, Phumi Bak Sna Khang Kaeut, Phumi Banteay Chhmar, Phumi Baos Sbov, Phumi Bay Damram, Phumi Boeng (1), Phumi Chant Sar Khang Cheung, Phumi Chikreng, Phumi Don Penh, Phumi Kbal Trach, Phumi Khvav, Phumi Kokir Thum, Phumi Kouk Romiet, Phumi Krava, Phumi Nam Tau, Phumi Ngon, Phumi O Ta Paong, Phumi Phkoam, Phumi Phnum Sampou, Phumi Popel, Phumi Sala Kraom, Phumi Snoeng, Phumi Ta Kream, Phumi Ta Pho, Pralay Meas, Pursat, Siem Reap, Srok Sameakki Mean Chey, Srok Sandan, Svay Chek, Ta Lou",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban sanitation | Urban water supply",B,B,B,Southeast Asia Department,Ministry of Rural Development,"Hasanah, Siti"
38565-012,Legal Empowerment for Women and Disadvantaged Groups,Regional,Sovereign,Technical Assistance,Closed,6248,19/07/2005,0,Regional,Public sector management,Law and judiciary,,,,Regional and Sustainable Development Department,Asian Development Bank,"Tornieri, Francesco"
38581-012,HIV/AIDS Prevention Among Youth,Viet Nam,Sovereign,Technical Assistance,Closed,4542,23/12/2004,"400,000.00",,Health,Disease control  of communicable disease,C,B,C,Southeast Asia Department,"Vietnam Comm for Population, Family and Children","Studdert, Lisa"
38581-022,HIV/AIDS Prevention Among Youth,Viet Nam,Sovereign,Grant,Closed,0046,30/06/2006,"20,000,000.00","Huyen Dien Bien, Long An, Thanh Pho Can Tho, Thanh Pho Da Nang, Thanh Pho Ha Noi, Tinh Ba Ria-Vung Tau, Tinh Bac Ninh, Tinh Binh Duong, Tinh Dong Thap, Tinh Hai Duong, Tinh Phu Tho, Tinh Quang Ninh, Tinh Quang Tri, Tinh Thua Thien-Hue",Health,Disease control  of communicable disease,C,,B,Southeast Asia Department,"Vietnam Comm for Population, Family and Children","Nguyen, Tuyen Nhat"
38582-012,Formulating and Implementing an Intergovernmental Agreement of the Shanghai Cooperation Organization Member States on Facilitation of International Ro,Regional,Sovereign,Technical Assistance,Closed,6223,23/12/2004,"500,000.00",Regional,Transport,Road transport (non-urban),,,,Central and West Asia Department,Asian Development Bank,"Wang, Hong"
38585-012,Capacity Building for Alternative Energy Development Board,Pakistan,Sovereign,Technical Assistance,Closed,4500,17/12/2004,0,,Energy,Energy sector development and institutional reform,,,,Central and West Asia Department,Alternative Energy Development Board,"Tumiwa, Samuel"
38587-012,SSTA to Support Ethnic Minorities Development Plan,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4455,02/12/2004,"150,000.00",,Water and other urban infrastructure and services,Renovation and protection of cultural heritage,,,,East Asia Department,West Yunnan Railway Company,"Parkash, Manmohan"
38588-012,Supporting The Achievement of The Millennium Development Goals in the Asia-Pacific Region,Regional,Sovereign,Technical Assistance,Closed,6197,04/11/2004,"350,000.00",Regional,Public sector management,Economic affairs management,,,,Regional and Sustainable Development Department,Asian Development Bank,"Chatterjee, Shiladitya"
38594-012,Guiyang Integrated Water Resources Management Project,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4586,16/05/2005,"800,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,A,A,A,East Asia Department,Guiyang Municipal People's Government,"Kobayashi, Yoshiaki"
38594-013,Guiyang Integrated Water Resources Management (Sector) Project,"China, People's Republic of",Sovereign,Loan,Closed,2573,29/10/2009,"150,000,000.00","Guiyang Shi, Hongfenghu, Huaxi, Kaiyang Xian, Li'an, Nanming Qu, Qingzhen Shi, Wudang Qu, Xiaohe Qu, Xifeng Xian, Xiuwen, Xiuwen Xian, Yangchang, Zhazuo, Zhuchang","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Irrigation | Land-based natural resources management | Rural water policy, institutional and capacity development | Rural water supply services | Water-based natural resources management | Urban water supply",A,A,A,East Asia Department,Guiyang Municipal People's Government,"Kobayashi, Yoshiaki"
38594-022,Strengthening Water Resources Management in Guiyang,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4912,20/12/2006,"800,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,East Asia Department,Guiyang Municipal People's Government,"Kobayashi, Yoshiaki"
38598-013,Afghanistan Investment Guarantee Facility,Afghanistan,Sovereign,Loan,Closed,2091,24/09/2004,"5,000,000.00",,Finance,Infrastructure finance and investment funds,FI,,,Central and West Asia Department,,ADB Disclosure
38599-022,HIV/AIDS Prevention and Capacity Development in the Pacific (ADF Grant),Regional,Sovereign,Grant,Closed,0021,08/11/2005,"8,000,000.00",Regional,Health,Disease control  of communicable disease,C,,,Pacific Department,Secretariat of the Pacific Community,"Witheford, Anne M."
38603-013,Sustainable Cotton Subsector Project,Tajikistan,Sovereign,Grant | Loan,Closed,0061 | 2271,03/11/2006,"12,000,000.00",,"Agriculture, natural resources and rural development | Finance","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Inclusive finance",C,C,C,Central and West Asia Department,Office of the President,"Chyngysheva, Asel"
38604-012,Local Government Finance and Budget Reform,Philippines,Sovereign,Technical Assistance,Closed,4556,23/12/2004,"850,000.00",,Public sector management,Decentralization,,,,Southeast Asia Department,Department of Finance,"Bird, Kelly"
38610-012,Commercial Financing for Local Government Units,Thailand,Sovereign,Technical Assistance,Closed,4558,12/01/2005,"670,000.00",,Public sector management,Decentralization,,,,Private Sector Operations Department,Public Debt Management Office,"Wermert, Stephen"
38616-012,Leadership Enhancement and Advancement Program (LEAP),Regional,Sovereign,Technical Assistance,Closed,6222,23/12/2004,"600,000.00",Regional,Education,Tertiary,,,,Pacific Department,Asian Development Bank,"Veve, Emma M."
38618-012,Road Sector Improvement Project (ADF Grant),Timor-Leste,Sovereign,Grant,Closed,0017,27/09/2005,"10,000,000.00",,Transport,Road transport (non-urban),B,,,Pacific Department,"Min of Transport, Communications and Public Works","Minc, Marcelo J."
38618-022,Preparing the Road Network Development Project,Timor-Leste,Sovereign,Technical Assistance,Closed,7100,23/07/2008,"800,000.00",,Transport,Road transport (non-urban),B,C,B,Pacific Department,Ministry of Infrastructure,"Masood, Hasan"
38625-013,Emergency Flood Damage Rehabilitation Project,Bangladesh,Sovereign,Grant | Loan | Technical Assistance,Closed,0038 | 0039 | 2156 | 4561 | 4562,20/01/2005,"152,450,000.00",,"Agriculture, natural resources and rural development | Information and communication technology | Public sector management",Rural flood protection | ICT infrastructure | Public expenditure and fiscal management | Social protection initiatives,B,C,B,South Asia Department,Bangladesh Railway,"Carlsson, Hans G."
38626-012,Capacity Building for Pollution Taxation and Resource Mobilization for Environment and Natural Resources Sectors - Phase II,Thailand,Sovereign,Technical Assistance,Closed,4667,03/10/2005,"225,000.00",,Public sector management,Public expenditure and fiscal management,,,,Southeast Asia Department,Ministry of Finance,"Gunatilake, Herath"
38628-012,GMS Northern Power Transmission,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,4816,19/07/2006,"800,000.00",,Energy,Electricity transmission and distribution,B,B,B,Southeast Asia Department,Electricite du Laos,"Kawano, Takaaki"
38628-022,Greater Mekong Subregion Northern Power Transmission Project,Lao People's Democratic Republic,Sovereign,Grant | Loan,Closed,0195,26/01/2010,"20,000,000.00","Nation-wide, Ban Boun-Nua, Khoueng Phongsali, Muang Boun-Nua, Muang Kenthao, Muang Kenthao, Muang Khamkeut, Muang Paklay, Muang Pek, Muang Xaignabouli, Nam O, Sainyabuli, Vientiane Province, Xaignabouli",Energy,Electricity transmission and distribution,B,,,Southeast Asia Department,Electricite du Laos,"Inthavong, Vanthong"
38631-012,Nutritious Food for 6-24 Month Old Children Vulnerable to Malnutrition in Poor Areas,Viet Nam,Sovereign,Grant,Closed,9083,17/01/2006,0,,Health,,C,C,C,Southeast Asia Department,Ministry of Health,"de Wit, Vincent P."
38633-012,Improving Delivery of Infrastructure Services (formerly Partnering to Improve Delivery of Infrastructure Services )(originally Support for Private Sec,Regional,Sovereign,Technical Assistance,Closed,6257,15/09/2005,"800,000.00",Regional,Energy | Public sector management | Transport | Water and other urban infrastructure and services,"Energy sector development and institutional reform | Reforms of state owned enterprises | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Pacific Department,Asian Development Bank,"Guild, Robert"
38637-012,Support for Results-Based Management in the Pacific,Regional,Sovereign,Technical Assistance,Closed,6414,19/10/2007,"1,000,000.00",Regional,Public sector management,Economic affairs management,,,,Pacific Department,Asian Development Bank,"Gill, Anthony Robert"
38638-012,Pilot Strengthening of Civil Society Participation in Development in the Pacific,Regional,Sovereign,Technical Assistance,Closed,6319,28/04/2006,"500,000.00",Regional,Public sector management,Social protection initiatives,,,,Pacific Department,"Pacific Concerns Resource Centre, Inc. (PCRC)","Pollard, Stephen J."
38639-012,Strengthening Governance and Accountability in Pacific Island Countries (formerly Strengthening Financial Management and Accountability in PDMCs),Regional,Sovereign,Technical Assistance,Closed,6360,07/12/2006,"982,500.00",Regional,Public sector management,Economic affairs management,,,,Pacific Department,Asian Development Bank,"Reid, Barry"
38646-012,Strengthening Pro-Poor Policy in the Pacific,Regional,Sovereign,Technical Assistance,Closed,6245,10/06/2005,"24,000.00",Regional,Public sector management,Economic affairs management,,,,Pacific Department,Asian Development Bank,"Pollard, Stephen J."
38647-012,Independent External Monitoring of Resettlement Activities of the Southern Transport Development Project,Sri Lanka,Sovereign,Technical Assistance,Closed,4748,19/12/2005,"511,000.00",,Transport,Road transport (non-urban),,,,South Asia Department,Ministry of Highways,"Perera, Edirisinghe Gamage J."
38651-012,Second Urban Primary Health Care Project Bridging Support,Bangladesh,Sovereign,Technical Assistance,Closed,4568,25/02/2005,0,,Health,Health sector development and reform,,,,South Asia Department,"Local Govt Div,Min of Local Govt Rural Devt & Coop","Bonu, Sekhar"
38652-012,Strengthening Technical Education,Sri Lanka,Sovereign,Technical Assistance,Closed,4663,03/10/2005,"120,000.00",,Education,Technical and vocational education and training,,,,South Asia Department,"Ministry of Skills and Development, Employment and Labour Relations (MSDELR)","Gutierrez, Leah"
38657-012,Basic Education for Children with Special Needs (formerly Improving Access and Quality of Basic Education to Disadvantaged Children),Uzbekistan,Sovereign,Grant,Closed,9091,17/03/2006,0,,Education,,C,,,Central and West Asia Department,Ministry of Public Education,"Talipova, Nargiza Parkhatovna"
38660-012,Ningxia Yinchuan Integrated Ecosystem Management,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4640,30/08/2005,"500,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,B,B,B,East Asia Department,Ningxia Finance Bureau,"Feng, Yue-Lang"
38660-023,Ningxia Integrated Ecosystem and Agricultural Development Project,"China, People's Republic of",Sovereign,Grant | Loan,Closed,0113 | 2436,29/08/2008,"100,000,000.00","Helan Xian, Jinfeng Qu, Xingqing Qu, Xixia Qu, Yinchuan Shi, Yongning Xian","Agriculture, natural resources and rural development","Agricultural production | Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management",A,C,C,East Asia Department,Ningxia Finance Bureau,"Niu, Zhiming"
38662-012,Henan Ecological Agriculture and Rural Productivity Improvement Project (Component A) and the Central and Southern Shanxi Integrated Agricultural Deve,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4831,25/08/2006,"1,000,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,B,C,C,East Asia Department,Sanmenxia Municipal Government,"Bolt, Richard S.M."
38662-013,Shanxi Integrated Agricultural Development Project,"China, People's Republic of",Sovereign,Grant | Loan,Closed,0188 | 0189 | 2607,16/12/2009,"100,000,000.00","Daning Xian, Fenxi Xian, Hongdong Xian, Houma Shi, Jiaocheng Xian, Jiaokou Xian, Jishan Xian, Licheng Xian, Linyi Xian, Lishi District, Liulin Xian, Pingshun Xian, Pingyao Xian, Qi Xian, Taigu Xian, Wanrong Xian, Wenshui Xian, Xi Xian, Xiangfen Xian, Yanhu Qu, Yonghe Xian, Yongji Shi, Yuci Qu, Zhongyang Xian","Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade | Livestock",B,C,C,East Asia Department,Shanxi Provincial Government,Rabindra Osti
38662-023,Henan Sustainable Agriculture and Productivity Improvement Project (formerly Henan High Efficiency Agriculture Development [Sanmenxia Area]),"China, People's Republic of",Sovereign,Loan | Technical Assistance,Closed,2395 | 7027,13/12/2007,"67,100,000.00",Sanmenxia Shi,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade",B,C,C,East Asia Department,Sanmenxia Municipal Government,"Shen, Xin"
39004-012,Economic and Social Inclusion of the Disadvantaged Poor through Livelihood Enhancement with Micro-Irrigation,Nepal,Sovereign,Technical Assistance,Closed,4774,20/03/2006,0,,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,South Asia Department,"Department of Irrigation, Kathmandu","Yokoyama, Kenichi"
39005-012,Non Formal Skills Training for Unemployed Youth and Adults (formerly Promotion of Non-Formal Skills Training for Vulnerable Youth and Poor Adults),Mongolia,Sovereign,Grant,Closed,9085,20/02/2006,0,,Education,,C,C,C,East Asia Department,Ministry of Education and Science,"Asanova, Jazira"
39006-012,Reaching the Most Disadvantaged Groups in Mainstream Rural Development,Nepal,Sovereign,Technical Assistance,Closed,4759,22/12/2005,0,,Public sector management,Social protection initiatives,,,,South Asia Department,"Deptof Women Devt,Min.of Women,Children&SocialWelf","Mongiorgi, Marzia"
39008-012,Development of Asset Backed Securities Market and the Restructuring of State-owned Asset Management Companies,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4618,19/07/2005,"1,000,000.00",,Finance,Finance sector development,,,,East Asia Department,Ministry of Finance,"Qian, Ying"
39011-012,Strengthening of Public Service Division (formerly Capacity Building for Public Service Division),Maldives,Sovereign,Technical Assistance,Closed,4735,14/12/2005,"250,000.00",,Public sector management,Public administration,,,,South Asia Department,Ministry of Finance (formerly Ministry of Finance and Treasury),"Hayashi, Tadateru"
39015-012,Preparing the Reform and Modernization of Revenue Administration Project,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,4685,03/11/2005,"500,000.00",,Public sector management,Public expenditure and fiscal management,C,C,C,Central and West Asia Department,State Tax Inspectorate,"Shrestha, Sona"
39015-022,Business Process Reengineering and Change Management for Tax Administration Modernization,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,4940,14/06/2007,0,,Public sector management,Public expenditure and fiscal management,,,,Central and West Asia Department,Prime Minister's Office,"Tan, Jose Antonio R. III"
39015-032,Institutional Strengthening and Capacity Building for Tax Administration Reform,Kyrgyz Republic,Sovereign,Technical Assistance,Closed,4941,14/06/2007,"500,000.00",,Public sector management,Public expenditure and fiscal management,,,,Central and West Asia Department,Prime Minister's Office,"Tan, Jose Antonio R. III"
39015-042,Tax Administration Reform and Modernization Project,Kyrgyz Republic,Sovereign,Grant,Closed,0077,14/06/2007,"10,000,000.00","Ak-Suu, Alamedinskiy Rayon, Batken, Batkenskiy Rayon, Jalal-Abad, Jety-Oguz, Kadamjaiskiy Raion, Kara-Suu, Karakol, Kemin, Kzyl-Kiya, Lyaylyakskiy Rayon, Naryn, Nookat, Oktyabr', Osh, Sokuluk, Sulyukta, Talas, Tokmok, Tyupskiy Rayon, Uzgen, Ysyk-Ata",Public sector management,Public expenditure and fiscal management,C,C,C,Central and West Asia Department,Prime Minister's Office,"Barreto, Ruben B."
39019-012,Inner Mongolia Environment Improvement,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4584,29/04/2005,"500,000.00",,Energy,Energy sector development and institutional reform,B,B,B,East Asia Department,Inner Mongolia Autonomous Region Finance Department (Former Inner Mongolia Autonomous Region),"Wong, Siew Fing"
39019-013,Inner Mongolia Autonomous Region Environmental Improvement,"China, People's Republic of",Sovereign,Loan,Closed,2260,29/09/2006,"120,000,000.00","Bayannao'er, Bayannur Shi, Dengkou Xian, Haibowan Qu, Hainan Qu, Hangginhou Qi, Hohhot, Hohhot Shi, Inner Mongolia, Linhe Qu, Ordos Shi, Otog Qi, Qipanjing, Ulashan, Urad Houqi, Urad Qianqi, Uxin Qi, Wuda Qu, Wuhai, Wuyuan Xian, wuhai shi",Energy,Energy efficiency and conservation,B,C,B,East Asia Department,Inner Mongolia Autonomous Region Finance Department (Former Inner Mongolia Autonomous Region),"Yamamura, Shigeru"
39023-012,Greater Silk Road Initiative 2006,Regional,Sovereign,Technical Assistance,Closed,6272,24/11/2005,"985,000.00",Regional,Public sector management,Economic affairs management,,,,Central and West Asia Department,Asian Development Bank,"Kruger, David J."
39025-012,Core Environment Program and Biodiversity Conservation Corridors Initiative in the Greater Mekong Subregion,Regional,Sovereign,Technical Assistance,Closed,6289,16/12/2005,"2,680,000.00",Regional,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,Southeast Asia Department,Asian Development Bank,"Ranawana, Sanath"
39028-012,Mitigation of Trans-Boundary Air Pollution from Coal-Fired Power Plants in Northeast Asia (formerly North East Asia Acid Rain Control),Regional,Sovereign,Technical Assistance,Closed,6371,18/12/2006,"900,000.00",Regional,Energy,Conventional energy generation,,,,East Asia Department,Asian Development Bank,"Oi, Teruhisa"
39029-012,Community-based Rural Power Supply Project (formerly called Community-based Electricity Supply in Remote Areas),Tajikistan,Sovereign,Grant,Closed,9089,15/03/2006,0,,Energy,,B,C,C,Central and West Asia Department,Ministry of Energy,"Mtchedlishvili, Levan"
